country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",05-04-2026 08:00,26.0881305,87.93840336,OZONE,32,34,33
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",05-04-2026 08:00,27.308328,84.531742,NH3,2,2,2
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",05-04-2026 08:00,26.63086,84.90051,NH3,3,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB",05-04-2026 08:00,25.376776,86.471523,PM2.5,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB",05-04-2026 08:00,25.376776,86.471523,NO2,NA,NA,NA
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",05-04-2026 08:00,24.762518,84.982348,PM2.5,20,68,38
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",05-04-2026 08:00,25.697189,85.2459,CO,8,42,20
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",05-04-2026 08:00,25.560083,87.553265,CO,68,82,75
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",05-04-2026 08:00,26.0881305,87.93840336,PM10,33,75,53
India,Bihar,Munger,"Town Hall, Munger - BSPCB",05-04-2026 08:00,25.376776,86.471523,CO,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB",05-04-2026 08:00,25.376776,86.471523,OZONE,NA,NA,NA
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",05-04-2026 08:00,26.11442,85.39813,PM10,133,422,181
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",05-04-2026 08:00,26.11442,85.39813,NO2,25,67,40
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",05-04-2026 08:00,25.251013,86.989001,NH3,1,1,1
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",05-04-2026 08:00,25.251013,86.989001,CO,1,27,15
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",05-04-2026 08:00,25.265194,87.012947,PM2.5,40,120,69
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",05-04-2026 08:00,25.204762,85.51496,NO2,9,10,9
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",05-04-2026 08:00,25.7808257,84.7446768,NO2,3,4,3
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",05-04-2026 08:00,24.792403,84.992416,PM10,69,139,113
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",05-04-2026 08:00,24.7955,84.9994,NO2,8,9,9
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",05-04-2026 08:00,25.892357,86.590325,NH3,4,4,4
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",05-04-2026 08:00,25.859655,85.77944,OZONE,7,12,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",05-04-2026 08:00,24.952822,84.002396,PM2.5,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",05-04-2026 08:00,26.2271665,84.3570427,OZONE,14,16,15
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",05-04-2026 08:00,26.1209,85.3647,OZONE,7,18,8
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",05-04-2026 08:00,25.586562,85.043586,SO2,4,82,14
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",05-04-2026 08:00,25.586562,85.043586,OZONE,27,34,31
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",05-04-2026 08:00,25.592539,85.227158,PM2.5,70,82,76
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",05-04-2026 08:00,25.592539,85.227158,SO2,4,8,6
India,Bihar,Patna,"Muradpur, Patna - BSPCB",05-04-2026 08:00,25.619651,85.147382,PM2.5,83,301,137
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",05-04-2026 08:00,25.599486,85.113666,PM10,62,237,103
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",05-04-2026 08:00,21.194815,81.31477,SO2,7,29,12
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",05-04-2026 08:00,21.194815,81.31477,OZONE,3,30,12
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",05-04-2026 08:00,21.185571,81.343175,PM2.5,7,46,23
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",05-04-2026 08:00,21.185571,81.343175,CO,25,32,26
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",05-04-2026 08:00,25.0328,85.41948,NO2,13,15,14
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",05-04-2026 08:00,25.0328,85.41948,NH3,3,3,3
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",05-04-2026 08:00,26.1403345,85.3650192,SO2,7,20,12
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",05-04-2026 08:00,22.118125,83.140608,CO,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",05-04-2026 08:00,30.751462,76.762879,OZONE,4,59,16
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",05-04-2026 08:00,25.599486,85.113666,NH3,2,3,3
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",05-04-2026 08:00,28.498571,77.26484,OZONE,6,159,13
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",05-04-2026 08:00,28.5710274,77.0719006,NH3,10,14,12
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",05-04-2026 08:00,28.5627763,77.1180053,PM10,36,203,102
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",05-04-2026 08:00,28.5627763,77.1180053,CO,22,58,34
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",05-04-2026 08:00,28.6811736,77.3025234,PM10,88,136,111
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",05-04-2026 08:00,28.6811736,77.3025234,SO2,4,28,16
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",05-04-2026 08:00,28.54246,77.191651,PM10,27,226,104
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",05-04-2026 08:00,28.54246,77.191651,NO2,31,78,52
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",05-04-2026 08:00,28.54246,77.191651,CO,62,101,78
India,Delhi,Delhi,"ITO, Delhi - CPCB",05-04-2026 08:00,28.628624,77.24106,PM2.5,43,234,87
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",05-04-2026 08:00,21.371751,81.664929,OZONE,3,37,4
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",05-04-2026 08:00,22.06631475,83.33820077,PM10,23,110,49
India,Delhi,Delhi,"Alipur, Delhi - DPCC",05-04-2026 08:00,28.815329,77.15301,PM2.5,28,363,115
India,Delhi,Delhi,"Alipur, Delhi - DPCC",05-04-2026 08:00,28.815329,77.15301,CO,27,57,45
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",05-04-2026 08:00,28.647622,77.315809,NO2,8,36,21
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",05-04-2026 08:00,28.647622,77.315809,SO2,22,31,26
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",05-04-2026 08:00,28.647622,77.315809,CO,32,97,45
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",05-04-2026 08:00,28.695381,77.181665,PM2.5,42,293,114
